x	y	erry
0.333	0.163	0.001
0.499	0.16	0.001
0.666	0.159	0.001
0.832	0.158	0.001
0.999	0.155	0.001
1.165	0.154	0.001
1.332	0.151	0.001
1.498	0.149	0.001
1.665	1.47E-01	0.001
1.831	1.45E-01	0.001
1.998	1.42E-01	0.001
2.164	1.40E-01	0.001
2.331	1.40E-01	0.001
2.497	0.137	0.001
2.663	0.135	0.001
2.83	0.132	0.001
2.996	0.13	0.001
3.163	0.129	0.001
3.329	0.128	0.001
3.496	0.125	0.001
3.662	0.124	0.001
3.829	0.122	0.001
3.995	0.121	0.001
4.162	0.119	0.001
4.328	0.118	0.001
4.495	0.115	0.001
4.661	0.114	0.001
4.828	0.112	0.001
4.994	0.109	0.001
5.16	0.108	0.001
5.327	0.106	0.001
5.493	0.104	0.001
5.66	0.103	0.001
5.826	0.101	0.001
5.993	9.92E-02	0.001
6.159	9.78E-02	0.001
6.326	9.58E-02	0.001
6.492	9.53E-02	0.001
6.659	9.39E-02	0.001
6.825	9.14E-02	0.001
6.992	8.95E-02	0.001
7.158	8.76E-02	0.001
