x	y	erry
3.33E-01	1.65E-01	0.001
4.99E-01	1.64E-01	0.001
6.66E-01	1.62E-01	0.001
8.32E-01	1.60E-01	0.001
9.99E-01	1.58E-01	0.001
1.17E+00	1.56E-01	0.001
1.33E+00	1.56E-01	0.001
1.50E+00	1.52E-01	0.001
1.66E+00	1.50E-01	0.001
1.83E+00	1.48E-01	0.001
2.00E+00	1.45E-01	0.001
2.16E+00	1.43E-01	0.001
2.33E+00	1.39E-01	0.001
2.50E+00	1.39E-01	0.001
2.66E+00	1.38E-01	0.001
2.83E+00	1.36E-01	0.001
3.00E+00	1.34E-01	0.001
3.16E+00	1.32E-01	0.001
3.33E+00	1.30E-01	0.001
3.50E+00	1.28E-01	0.001
3.66E+00	1.26E-01	0.001
3.83E+00	1.24E-01	0.001
4.00E+00	1.21E-01	0.001
4.16E+00	1.21E-01	0.001
4.33E+00	1.19E-01	0.001
4.49E+00	1.17E-01	0.001
4.66E+00	1.16E-01	0.001
4.83E+00	1.13E-01	0.001
4.99E+00	1.12E-01	0.001
5.16E+00	1.10E-01	0.001
5.33E+00	1.09E-01	0.001
5.49E+00	1.07E-01	0.001
5.66E+00	1.04E-01	0.001
5.83E+00	1.02E-01	0.001
5.99E+00	1.01E-01	0.001
6.16E+00	1.00E-01	0.001
6.33E+00	9.96E-02	0.001
6.49E+00	9.90E-02	0.001
6.66E+00	9.62E-02	0.001
6.83E+00	9.33E-02	0.001
6.99E+00	9.22E-02	0.001
7.16E+00	9.11E-02	0.001
7.32E+00	8.99E-02	0.001
7.49E+00	8.77E-02	0.001
