x	y	erry
0.999	0.155	0.001
1.498	0.151	0.001
1.998	0.148	0.001
2.497	0.145	0.001
2.996	0.142	0.001
3.496	0.138	0.001
3.995	0.135	0.001
4.495	0.132	0.001
4.994	0.129	0.001
5.493	0.126	0.001
5.993	0.123	0.001
6.492	0.12	0.001
6.992	0.117	0.001
7.491	0.114	0.001
7.99	0.111	0.001
8.49	0.109	0.001
8.989	0.106	0.001
9.489	0.103	0.001
9.988	0.102	0.001
10.49	9.97E-02	0.001
10.99	9.72E-02	0.001
11.49	9.19E-02	0.001
11.99	8.94E-02	0.001
12.48	8.65E-02	0.001
12.98	8.40E-02	0.001
13.48	8.18E-02	0.001
13.98	7.91E-02	0.001
14.48	7.64E-02	0.001
14.98	7.36E-02	0.001
15.48	7.19E-02	0.001
15.98	6.91E-02	0.001
16.48	6.71E-02	0.001
