x	y	erry
0.00E+00	1.69E+01	0.0001
2.50E-01	1.68E+01	0.0001
5.00E-01	1.66E+01	0.0001
7.50E-01	1.65E+01	0.0001
1.00E+00	1.61E+01	0.0001
1.25E+00	1.58E+01	0.0001
1.50E+00	1.55E+01	0.0001
1.75E+00	1.51E+01	0.0001
2.00E+00	1.49E+01	0.0001
2.25E+00	1.46E+01	0.0001
2.50E+00	1.46E+01	0.0001
2.75E+00	1.46E+01	0.0001
3.00E+00	1.43E+01	0.0001
3.25E+00	1.43E+01	0.0001
3.50E+00	1.41E+01	0.0001
3.75E+00	1.38E+01	0.0001
4.00E+00	1.38E+01	0.0001
4.25E+00	1.38E+01	0.0001
4.51E+00	1.35E+01	0.0001
4.76E+00	1.35E+01	0.0001
5.01E+00	1.32E+01	0.0001
5.26E+00	1.32E+01	0.0001
5.51E+00	1.29E+01	0.0001
5.76E+00	1.29E+01	0.0001
6.01E+00	1.26E+01	0.0001
6.26E+00	1.23E+01	0.0001
6.51E+00	1.23E+01	0.0001
6.76E+00	1.23E+01	0.0001
7.01E+00	1.20E+01	0.0001
7.26E+00	1.20E+01	0.0001
7.51E+00	1.15E+01	0.0001
7.76E+00	1.15E+01	0.0001
8.01E+00	1.15E+01	0.0001
8.26E+00	1.12E+01	0.0001
8.51E+00	1.07E+01	0.0001
8.76E+00	1.07E+01	0.0001
9.01E+00	1.06E+01	0.0001
9.26E+00	1.05E+01	0.0001
9.51E+00	1.03E+01	0.0001
9.76E+00	1.03E+01	0.0001
1.00E+01	1.02E+01	0.0001
1.03E+01	9.88E+00	0.0001
1.05E+01	9.88E+00	0.0001
1.08E+01	9.60E+00	0.0001
1.10E+01	9.60E+00	0.0001
1.13E+01	9.45E+00	0.0001
1.15E+01	9.45E+00	0.0001
1.18E+01	9.02E+00	0.0001
1.20E+01	9.02E+00	0.0001
1.23E+01	8.88E+00	0.0001
1.25E+01	8.59E+00	0.0001
1.28E+01	8.59E+00	0.0001
